name,link,rating,ico_profile,team,vision,product,start,end
coinfer,https://icobench.com/ico/coinfer/,2.4,2.4,0,0,0,11 Jan 2018,10 Feb 2018
ecogreenhouse,https://icobench.com/ico/ecogreenhouse/,2.2,2.4,1.6,2.0,1.6,Unknown,Unknown
finecoin,https://icobench.com/ico/finecoin/,2.4,2.4,0,0,0,20 Jan 2018,25 Jan 2018
glu,https://icobench.com/ico/glu/,2.4,2.4,0,0,0,Unknown,Unknown
hedgeconnect,https://icobench.com/ico/hedgeconnect/,2.4,2.4,0,0,0,20 Jan 2018,12 Feb 2018
honor,https://icobench.com/ico/honor/,2.4,2.4,0,0,0,19 Dec 2017,29 Jan 2018
icobasis,https://icobench.com/ico/icobasis/,2.5,2.4,2.3,3.4,1.9,23 Dec 2017,07 Feb 2018
kala-token,https://icobench.com/ico/kala-token/,2.4,2.4,0,0,0,27 Nov 2017,31 Mar 2018
loomia,https://icobench.com/ico/loomia/,2.4,2.4,0,0,0,Unknown,Unknown
loopx,https://icobench.com/ico/loopx/,2.4,2.4,0,0,0,10 Jan 2018,30 Jan 2018
mdk,https://icobench.com/ico/mdk/,2.7,2.4,3.0,3.0,4.0,Unknown,Unknown
nilecoin,https://icobench.com/ico/nilecoin/,2.3,2.4,1.0,2.0,3.0,27 Dec 2017,27 Jan 2018
patron,https://icobench.com/ico/patron/,2.8,2.4,4.0,4.0,4.0,Unknown,Unknown
pinkdate,https://icobench.com/ico/pinkdate/,2.4,2.4,0,0,0,01 Jan 2018,31 Jan 2018
pulsar,https://icobench.com/ico/pulsar/,2.9,2.4,4.0,3.7,3.7,13 Nov 2017,13 May 2018
qilin-market,https://icobench.com/ico/qilin-market/,2.4,2.4,0,0,0,12 Dec 2017,12 Feb 2018
radioyo,https://icobench.com/ico/radioyo/,2.3,2.4,1.6,3.0,2.0,Unknown,Unknown
solidified,https://icobench.com/ico/solidified/,2.4,2.4,0,0,0,Unknown,Unknown
wishcoin,https://icobench.com/ico/wishcoin/,2.4,2.4,0,0,0,20 Feb 2018,20 Mar 2018
wowoo,https://icobench.com/ico/wowoo/,2.7,2.4,4.0,3.0,4.0,22 Feb 2018,02 Mar 2018
abr,https://icobench.com/ico/abr/,2.6,2.3,3.1,3.5,2.5,Unknown,Unknown
armor-ceramics,https://icobench.com/ico/armor-ceramics/,2.3,2.3,0,0,0,Unknown,Unknown
asspace,https://icobench.com/ico/asspace/,2.2,2.3,1.0,3.0,2.0,25 Oct 2018,01 Jan 2019
bitlumens,https://icobench.com/ico/bitlumens/,2.0,2.3,1.4,1.4,1.4,26 Apr 2018,30 Apr 2018
circle,https://icobench.com/ico/circle/,2.3,2.3,0,0,0,21 Jan 2018,18 Feb 2018
cryptofund,https://icobench.com/ico/cryptofund/,2.3,2.3,0,0,0,Unknown,Unknown
enet-network,https://icobench.com/ico/enet-network/,2.3,2.3,0,0,0,30 Nov 2017,28 Feb 2018
katalyst-coin,https://icobench.com/ico/katalyst-coin/,2.3,2.3,0,0,0,15 Jan 2018,15 Feb 2018
korbex,https://icobench.com/ico/korbex/,2.3,2.3,0,0,0,Unknown,Unknown
moonlighting,https://icobench.com/ico/moonlighting/,2.4,2.3,4.0,3.0,2.0,Unknown,Unknown
nocta,https://icobench.com/ico/nocta/,2.3,2.3,0,0,0,Unknown,Unknown
pryze,https://icobench.com/ico/pryze/,2.3,2.3,0,0,0,01 Dec 2017,30 Jan 2018
qurito,https://icobench.com/ico/qurito/,2.5,2.3,3.0,3.0,3.0,Unknown,Unknown
realtycoin,https://icobench.com/ico/realtycoin/,2.3,2.3,0,0,0,17 Nov 2017,31 Jan 2018
ret,https://icobench.com/ico/ret/,2.3,2.3,0,0,0,Unknown,Unknown
rothscoin,https://icobench.com/ico/rothscoin/,2.3,2.3,0,0,0,18 Dec 2017,28 Jan 2018
smartmoni,https://icobench.com/ico/smartmoni/,2.3,2.3,0,0,0,Unknown,Unknown
staking-coin,https://icobench.com/ico/staking-coin/,2.4,2.3,3.0,3.0,2.0,Unknown,Unknown
tokenstub,https://icobench.com/ico/tokenstub/,2.3,2.3,0,0,0,23 Aug 2017,Unknown
88-coin,https://icobench.com/ico/88-coin/,2.0,2.1,3.0,1.0,1.0,Unknown,Unknown
betstreak,https://icobench.com/ico/betstreak/,2.1,2.1,0,0,0,Unknown,Unknown
cryptomuseum,https://icobench.com/ico/cryptomuseum/,2.1,2.1,0,0,0,Unknown,Unknown
evacoin,https://icobench.com/ico/evacoin/,2.1,2.1,0,0,0,Unknown,Unknown
gigecoin,https://icobench.com/ico/gigecoin/,2.1,2.1,0,0,0,10 Oct 2017,Unknown
givacoin,https://icobench.com/ico/givacoin/,2.3,2.1,3.0,3.0,3.0,26 Dec 2017,24 Feb 2018
golden-fleece,https://icobench.com/ico/golden-fleece/,2.4,2.1,3.0,4.0,3.0,15 Feb 2018,31 Mar 2018
house-coupon-token,https://icobench.com/ico/house-coupon-token/,2.1,2.1,0,0,0,16 Jan 2018,18 Mar 2018
nuhelp,https://icobench.com/ico/nuhelp/,2.3,2.1,3.0,3.0,3.0,15 Jan 2018,15 Feb 2018
patriot,https://icobench.com/ico/patriot/,2.1,2.1,0,0,0,05 Jan 2018,05 Feb 2018
pentaxcoin,https://icobench.com/ico/pentaxcoin/,2.1,2.1,0,0,0,28 Dec 2017,28 Jan 2018
pingpong,https://icobench.com/ico/pingpong/,2.4,2.1,3.3,4.1,4.1,Unknown,Unknown
pressco,https://icobench.com/ico/pressco/,2.4,2.1,4.0,4.0,3.0,Unknown,Unknown
biofactorycoin,https://icobench.com/ico/biofactorycoin/,2.3,2.0,3.0,3.0,3.0,07 Dec 2017,21 Feb 2018
bitether,https://icobench.com/ico/bitether/,2.0,2.0,0,0,0,Unknown,Unknown
clickgem,https://icobench.com/ico/clickgem/,2.0,2.0,0,0,0,11 Feb 2018,13 Mar 2018
datavlt,https://icobench.com/ico/datavlt/,2.0,2.0,0,0,0,Unknown,Unknown
dopamine,https://icobench.com/ico/dopamine/,2.0,2.0,2.0,2.0,2.0,Unknown,Unknown
eco-nan,https://icobench.com/ico/eco-nan/,2.0,2.0,0,0,0,01 Dec 2017,24 Jan 2018
ether-legends,https://icobench.com/ico/ether-legends/,2.0,2.0,0,0,0,15 Feb 2018,04 Apr 2018
eygex,https://icobench.com/ico/eygex/,2.0,2.0,0,0,0,01 Feb 2018,14 Feb 2018
futereum,https://icobench.com/ico/futereum/,2.0,2.0,0,0,0,05 Jan 2018,Unknown
hashtoken,https://icobench.com/ico/hashtoken/,2.0,2.0,0,0,0,03 Jan 2018,25 Jan 2018
indigo-dma,https://icobench.com/ico/indigo-dma/,2.0,2.0,0,0,0,23 Dec 2017,01 Apr 2018
mymazzu,https://icobench.com/ico/mymazzu/,2.0,2.0,0,0,0,15 Jan 2018,Unknown
ofid,https://icobench.com/ico/ofid/,2.0,2.0,0,0,0,Unknown,Unknown
swisstok,https://icobench.com/ico/swisstok/,2.0,2.0,0,0,0,26 Feb 2018,25 Mar 2018
tudorpay,https://icobench.com/ico/tudorpay/,2.0,2.0,0,0,0,26 Nov 2017,15 Feb 2018
vitavisor,https://icobench.com/ico/vitavisor/,1.8,2.0,1.0,1.0,1.0,10 Jan 2018,31 Jan 2018
wha-project,https://icobench.com/ico/wha-project/,2.4,2.0,2.9,3.8,2.8,11 Dec 2017,Unknown
white-crypto-city,https://icobench.com/ico/white-crypto-city/,2.1,2.0,2.0,2.4,2.0,27 Nov 2017,02 Feb 2018
world-peace-coin,https://icobench.com/ico/world-peace-coin/,1.8,2.0,2.0,1.3,1.3,25 Mar 2018,Unknown
aibb,https://icobench.com/ico/aibb/,1.9,1.9,0,0,0,Unknown,Unknown
appay,https://icobench.com/ico/appay/,1.9,1.9,0,0,0,01 Dec 2017,30 Jan 2018
bitsoko,https://icobench.com/ico/bitsoko/,1.9,1.9,0,0,0,01 Dec 2017,01 May 2018
callback-plus,https://icobench.com/ico/callback-plus/,1.9,1.9,0,0,0,01 Mar 2018,31 Mar 2018
destineed,https://icobench.com/ico/destineed/,1.9,1.9,2.0,3.0,1.0,Unknown,Unknown
feast-coin,https://icobench.com/ico/feast-coin/,1.9,1.9,0,0,0,14 Jan 2018,14 Mar 2018
femaletoken,https://icobench.com/ico/femaletoken/,1.9,1.9,0,0,0,01 Jan 2018,31 Jan 2018
fruocoin,https://icobench.com/ico/fruocoin/,1.9,1.9,0,0,0,28 Dec 2017,31 Jan 2018
gamity,https://icobench.com/ico/gamity/,1.9,1.9,0,0,0,Unknown,Unknown
iziing,https://icobench.com/ico/iziing/,1.9,1.9,0,0,0,Unknown,Unknown
lotus,https://icobench.com/ico/lotus/,2.1,1.9,3.0,2.0,3.0,10 Jan 2018,24 Jan 2018
moover,https://icobench.com/ico/moover/,1.9,1.9,0,0,0,01 Dec 2017,20 Apr 2018
nedviga,https://icobench.com/ico/nedviga/,1.8,1.9,2.0,1.0,1.0,01 Mar 2018,31 Mar 2018
radjav,https://icobench.com/ico/radjav/,1.9,1.9,0,0,0,Unknown,Unknown
reorder,https://icobench.com/ico/reorder/,1.8,1.9,1.9,1.9,1.0,01 Nov 2017,Unknown
royal-capital,https://icobench.com/ico/royal-capital/,1.9,1.9,0,0,0,Unknown,Unknown
starmine,https://icobench.com/ico/starmine/,1.9,1.9,0,0,0,30 Sep 2017,Unknown
sun-fund,https://icobench.com/ico/sun-fund/,1.9,1.9,3.0,1.0,2.0,17 Nov 2017,17 Feb 2018
torq,https://icobench.com/ico/torq/,1.9,1.9,0,0,0,25 Dec 2017,31 Jan 2018
unicoin,https://icobench.com/ico/unicoin/,1.9,1.9,0,0,0,Unknown,Unknown
validcoin,https://icobench.com/ico/validcoin/,1.9,1.9,0,0,0,20 Jan 2018,26 Jan 2018
vega,https://icobench.com/ico/vega/,2.1,1.9,2.5,2.5,2.0,Unknown,Unknown
xinfin-foundation,https://icobench.com/ico/xinfin-foundation/,1.9,1.9,0,0,0,Unknown,Unknown
anonymous-service-chain,https://icobench.com/ico/anonymous-service-chain/,1.8,1.8,2.0,2.0,2.0,01 Dec 2017,31 Jan 2018
brat,https://icobench.com/ico/brat/,1.8,1.8,0,0,0,Unknown,Unknown
corusblock,https://icobench.com/ico/corusblock/,1.5,1.8,1.0,1.0,1.0,01 Feb 2018,01 Mar 2018
cryptectum,https://icobench.com/ico/cryptectum/,1.8,1.8,0,0,0,18 Feb 2018,18 Mar 2018
etardis,https://icobench.com/ico/etardis/,1.8,1.8,0,0,0,Unknown,Unknown
evitan,https://icobench.com/ico/evitan/,1.8,1.8,0,0,0,05 Jan 2018,05 Feb 2018
garnet,https://icobench.com/ico/garnet/,1.8,1.8,0,0,0,25 Oct 2017,25 Jun 2018
globo,https://icobench.com/ico/globo/,2.1,1.8,4.0,3.0,2.0,12 Dec 2017,29 Jan 2018
medis,https://icobench.com/ico/medis/,1.8,1.8,0,0,0,01 Dec 2017,01 Jun 2018
metatip,https://icobench.com/ico/metatip/,1.8,1.8,0,0,0,05 Dec 2017,01 Aug 2018
mundus,https://icobench.com/ico/mundus/,1.8,1.8,0,0,0,01 Feb 2018,25 Jan 2018
myoddz,https://icobench.com/ico/myoddz/,1.8,1.8,0,0,0,12 Feb 2018,12 Mar 2018
triumland,https://icobench.com/ico/triumland/,1.8,1.8,0,0,0,01 Jan 2018,31 Jan 2018
universal-brand,https://icobench.com/ico/universal-brand/,1.8,1.8,0,0,0,01 Dec 2017,14 Feb 2018
bithub,https://icobench.com/ico/bithub/,1.6,1.6,0,0,0,10 Jan 2018,10 Feb 2018
chrysos,https://icobench.com/ico/chrysos/,1.6,1.6,0,0,0,27 Dec 2017,26 Jan 2018
lytictail,https://icobench.com/ico/lytictail/,1.5,1.6,1.0,2.0,1.0,01 Jan 2018,01 Mar 2018
magnum-link,https://icobench.com/ico/magnum-link/,1.6,1.6,0,0,0,Unknown,Unknown
mdcn,https://icobench.com/ico/mdcn/,1.6,1.6,0,0,0,01 Jan 2018,01 Mar 2018
novex,https://icobench.com/ico/novex/,1.6,1.6,0,0,0,Unknown,Unknown
pandalancer,https://icobench.com/ico/pandalancer/,1.6,1.6,0,0,0,15 Jan 2018,15 Feb 2018
peerplays,https://icobench.com/ico/peerplays/,1.6,1.6,0,0,0,Unknown,Unknown
sportience,https://icobench.com/ico/sportience/,1.6,1.6,0,0,0,Unknown,Unknown
talenter,https://icobench.com/ico/talenter/,1.6,1.6,0,0,0,15 Feb 2018,06 Apr 2018
truebit,https://icobench.com/ico/truebit/,1.9,1.6,4.0,3.0,2.0,Unknown,Unknown
verdict,https://icobench.com/ico/verdict/,1.6,1.6,0,0,0,20 Jan 2018,Unknown
viccoin,https://icobench.com/ico/viccoin/,1.7,1.6,2.0,2.0,2.0,Unknown,Unknown
allend,https://icobench.com/ico/allend/,1.5,1.5,0,0,0,15 Dec 2017,25 Jan 2018
blockfollow,https://icobench.com/ico/blockfollow/,1.5,1.5,0,0,0,24 Feb 2018,10 Mar 2018
consulteth,https://icobench.com/ico/consulteth/,1.5,1.5,0,0,0,Unknown,Unknown
cryptonod,https://icobench.com/ico/cryptonod/,1.3,1.5,1.0,1.0,1.0,11 Jan 2018,25 Feb 2018
homecoin,https://icobench.com/ico/homecoin/,1.4,1.5,1.4,1.0,1.4,22 Nov 2017,Unknown
mratoken,https://icobench.com/ico/mratoken/,1.5,1.5,0,0,0,01 Dec 2017,15 Feb 2018
pave,https://icobench.com/ico/pave/,1.5,1.5,0,0,0,Unknown,Unknown
platinum-token-club,https://icobench.com/ico/platinum-token-club/,1.5,1.5,0,0,0,Unknown,Unknown
raacoin,https://icobench.com/ico/raacoin/,1.5,1.5,0,0,0,Unknown,Unknown
skyeproperties,https://icobench.com/ico/skyeproperties/,1.5,1.5,0,0,0,Unknown,Unknown
bbiller,https://icobench.com/ico/bbiller/,1.4,1.4,0,0,0,Unknown,Unknown
bitlab,https://icobench.com/ico/bitlab/,1.4,1.4,0,0,0,Unknown,Unknown
copico,https://icobench.com/ico/copico/,1.4,1.4,0,0,0,Unknown,Unknown
cryptodruid,https://icobench.com/ico/cryptodruid/,1.4,1.4,0,0,0,08 Dec 2017,01 Feb 2018
dibbs,https://icobench.com/ico/dibbs/,1.4,1.4,0,0,0,01 Dec 2017,15 Feb 2018
future-coin-light,https://icobench.com/ico/future-coin-light/,1.5,1.4,2.0,2.0,1.0,05 Mar 2018,09 Apr 2018
jwc-ventures,https://icobench.com/ico/jwc-ventures/,1.4,1.4,0,0,0,23 Jan 2018,11 Feb 2018
lelecoin,https://icobench.com/ico/lelecoin/,1.4,1.4,0,0,0,28 Nov 2017,28 Mar 2018
lucisdollar,https://icobench.com/ico/lucisdollar/,1.4,1.4,0,0,0,15 Dec 2017,27 Jan 2018
propthereum,https://icobench.com/ico/propthereum/,1.4,1.4,0,0,0,Unknown,Unknown
rank,https://icobench.com/ico/rank/,1.4,1.4,0,0,0,01 Jan 2018,15 Feb 2018
wcx,https://icobench.com/ico/wcx/,1.4,1.4,0,0,0,01 Dec 2017,Unknown
aether-united,https://icobench.com/ico/aether-united/,1.3,1.3,0,0,0,Unknown,Unknown
altowl,https://icobench.com/ico/altowl/,1.3,1.3,0,0,0,07 Dec 2017,01 Feb 2018
blockchain-traded-fund,https://icobench.com/ico/blockchain-traded-fund/,1.3,1.3,0,0,0,01 Dec 2017,01 Jul 2018
easyfast,https://icobench.com/ico/easyfast/,1.9,1.3,3.4,3.4,3.4,Unknown,Unknown
ethereum-sweepstakes,https://icobench.com/ico/ethereum-sweepstakes/,1.3,1.3,0,0,0,22 Dec 2017,31 Dec 2018
gamex,https://icobench.com/ico/gamex/,1.3,1.3,0,0,0,06 Jan 2018,27 Jan 2018
genevieve-gx,https://icobench.com/ico/genevieve-gx/,1.3,1.3,0,0,0,20 Jan 2018,25 Feb 2018
helveticoin,https://icobench.com/ico/helveticoin/,1.3,1.3,0,0,0,12 Feb 2018,19 Feb 2018
hivemind,https://icobench.com/ico/hivemind/,1.3,1.3,0,0,0,Unknown,Unknown
idea-jump,https://icobench.com/ico/idea-jump/,1.3,1.3,0,0,0,01 Dec 2017,30 Apr 2018
thundercoin,https://icobench.com/ico/thundercoin/,1.3,1.3,0,0,0,22 Jan 2018,18 Feb 2018
acme-network,https://icobench.com/ico/acme-network/,1.1,1.1,0,0,0,15 Jan 2018,28 Feb 2018
prizm,https://icobench.com/ico/prizm/,1.3,1.1,1.0,5.0,2.0,Unknown,Unknown
uber-food,https://icobench.com/ico/uber-food/,1.3,1.1,1.6,1.6,1.6,Unknown,Unknown
achievecoin,https://icobench.com/ico/achievecoin/,1.0,1.0,0,0,0,14 Jan 2018,14 Feb 2018
addocoin,https://icobench.com/ico/addocoin/,1.0,1.0,0,0,0,Unknown,Unknown
dawq,https://icobench.com/ico/dawq/,1.2,1.0,2.0,2.0,2.0,Unknown,Unknown
embleema,https://icobench.com/ico/embleema/,1.0,1.0,0,0,0,Unknown,Unknown
fortunetoken,https://icobench.com/ico/fortunetoken/,1.0,1.0,0,0,0,01 Feb 2018,Unknown
bitmag,https://icobench.com/ico/bitmag/,0.9,0.9,0,0,0,01 Dec 2017,Unknown
bittix,https://icobench.com/ico/bittix/,0.9,0.9,0,0,0,15 Mar 2018,15 Apr 2018
