name,link,rating,ico_profile,team,vision,product,date
kript,https://icobench.com/ico/kript/,3.6,4.4,2.7,3.0,2.5,2018-03-09 - 2018-04-09
mingo,https://icobench.com/ico/mingo/,4.3,4.4,4.9,3.9,3.9,
moozicore,https://icobench.com/ico/moozicore/,4.4,4.4,0,0,0,2018-01-02 - 2018-01-29
trakinvest,https://icobench.com/ico/trakinvest/,4.2,4.4,4.7,4.1,3.3,2018-01-16 - 2018-01-31
vimarket,https://icobench.com/ico/vimarket/,4.0,4.4,4.0,3.0,3.0,2018-01-07 - 2018-01-31
vlb,https://icobench.com/ico/vlb/,3.9,4.4,4.0,3.3,3.0,2018-02-05 - 2018-03-12
zenome,https://icobench.com/ico/zenome/,3.6,4.4,2.7,3.7,2.5,
a2b-taxi,https://icobench.com/ico/a2b-taxi/,3.7,4.3,3.0,1.0,1.0,2018-03-01 - 2018-03-03
acorn-collective,https://icobench.com/ico/acorn-collective/,4.3,4.3,0,0,0,2018-01-29 - 2018-02-19
advanced-browsing-token,https://icobench.com/ico/advanced-browsing-token/,3.3,4.3,3.0,3.0,2.6,
africunia,https://icobench.com/ico/africunia/,4.3,4.3,0,0,0,2017-12-01 - 2018-02-28
aida,https://icobench.com/ico/aida/,3.9,4.3,4.0,3.8,3.4,2018-01-04 - 2018-01-25
aworker,https://icobench.com/ico/aworker/,3.5,4.3,2.5,3.0,1.5,2018-01-26 - 2018-05-26
bcshop,https://icobench.com/ico/bcshop/,3.8,4.3,3.3,3.6,3.5,2018-01-16 - 2018-02-13
bitnation,https://icobench.com/ico/bitnation/,4.1,4.3,4.8,3.7,3.3,2018-02-28 - 2018-03-28
boosteroid,https://icobench.com/ico/boosteroid/,3.6,4.3,2.7,3.8,3.1,2018-01-15 - 2018-02-15
bountie,https://icobench.com/ico/bountie/,3.7,4.3,3.0,3.0,3.0,2018-02-26 - 2018-03-05
bulleon,https://icobench.com/ico/bulleon/,4.0,4.3,3.4,3.9,3.4,2018-01-01 - 2018-12-31
coinmetro,https://icobench.com/ico/coinmetro/,3.7,4.3,4.0,3.0,2.4,2018-02-21 - 2018-03-23
coinplace,https://icobench.com/ico/coinplace/,3.3,4.3,3.0,2.3,1.7,2018-02-01 - 2018-02-28
cove-identity,https://icobench.com/ico/cove-identity/,4.2,4.3,4.0,4.4,3.7,
crowdcoinage,https://icobench.com/ico/crowdcoinage/,3.9,4.3,3.0,2.0,2.0,2018-01-15 - 2018-01-21
current,https://icobench.com/ico/current/,4.4,4.3,5.0,5.0,5.0,2018-02-07 - 2018-02-21
disciplina-by-teachmeplease,https://icobench.com/ico/disciplina-by-teachmeplease/,4.1,4.3,4.0,3.0,4.0,2017-11-27 - 2018-03-20
ens-bid,https://icobench.com/ico/ens-bid/,3.7,4.3,3.0,3.7,2.7,2018-01-10 - 2018-02-28
ethearnal,https://icobench.com/ico/ethearnal/,4.3,4.3,0,0,0,2018-02-28 - 2018-04-01
exmo-coin,https://icobench.com/ico/exmo-coin/,4.3,4.3,4.8,4.0,4.0,2018-02-21 - 2018-02-23
extra-credit,https://icobench.com/ico/extra-credit/,4.3,4.3,0,0,0,2018-01-01 - 2018-02-01
fundrequest,https://icobench.com/ico/fundrequest/,4.1,4.3,3.5,3.5,4.0,
gif-by-socifi,https://icobench.com/ico/gif-by-socifi/,4.3,4.3,0,0,0,2017-12-08 - 2018-01-23
giza-device,https://icobench.com/ico/giza-device/,4.4,4.3,4.3,4.5,4.4,2018-01-08 - 2018-02-08
hero-2,https://icobench.com/ico/hero-2/,3.8,4.3,4.0,2.0,1.0,2018-01-29 - 2018-03-16
jolyy,https://icobench.com/ico/jolyy/,3.3,4.3,2.7,2.4,1.7,2018-01-25 - 2018-02-24
pareto,https://icobench.com/ico/pareto/,4.0,4.3,2.9,3.6,2.9,
